group,variable,value
Elokuun loppu,Mustavahakas,25
Elokuun loppu,Koivunpunikkitatti,75
Syyskuun alku,Kanttarelli,99
Syyskuun alku,Suppilovahvero,95
Syyskuun alku,Mustatorvisieni,56
Syyskuun alku,Kangasrousku,112
Syyskuun alku,Limanuljaska,82
Syyskuun alku,Kehnäsieni,79
Syyskuun alku,Pohjanmesisieni,158
Syyskuun alku,Lampaankääpä,58
Syyskuun alku,Talvijuurekas,3
Syyskuun alku,Hallavahakas,3
Syyskuun alku,Mustavahakas,38
Syyskuun alku,Koivunpunikkitatti,53
Syyskuun loppu,Kanttarelli,87
Syyskuun loppu,Suppilovahvero,176
Syyskuun loppu,Mustatorvisieni,44
Syyskuun loppu,Kangasrousku,108
Syyskuun loppu,Limanuljaska,88
Syyskuun loppu,Kehnäsieni,89
Syyskuun loppu,Pohjanmesisieni,124
Syyskuun loppu,Lampaankääpä,50
Syyskuun loppu,Talvijuurekas,5
Syyskuun loppu,Hallavahakas,37
Syyskuun loppu,Mustavahakas,52
Syyskuun loppu,Koivunpunikkitatti,34
Lokakuun alku,Kanttarelli,39
Lokakuun alku,Suppilovahvero,102
Lokakuun alku,Mustatorvisieni,15
Lokakuun alku,Kangasrousku,56
Lokakuun alku,Limanuljaska,38
Lokakuun alku,Kehnäsieni,28
Lokakuun alku,Pohjanmesisieni,40
Lokakuun alku,Lampaankääpä,25
Lokakuun alku,Talvijuurekas,19
Lokakuun alku,Hallavahakas,40
Lokakuun alku,Mustavahakas,16
Lokakuun alku,Koivunpunikkitatti,11
Lokakuun loppu,Kanttarelli,23
Lokakuun loppu,Suppilovahvero,81
Lokakuun loppu,Mustatorvisieni,4
Lokakuun loppu,Kangasrousku,12
Lokakuun loppu,Limanuljaska,7
Lokakuun loppu,Kehnäsieni,3
Lokakuun loppu,Pohjanmesisieni,9
Lokakuun loppu,Lampaankääpä,68
Lokakuun loppu,Talvijuurekas,31
Lokakuun loppu,Hallavahakas,55
Lokakuun loppu,Mustavahakas,1
Lokakuun loppu,Koivunpunikkitatti,1
Marraskuun alku,Kanttarelli,16
Marraskuun alku,Suppilovahvero,32
Marraskuun alku,Mustatorvisieni,2
Marraskuun alku,Kangasrousku,0
Marraskuun alku,Limanuljaska,0
Marraskuun alku,Kehnäsieni,0
Marraskuun alku,Pohjanmesisieni,0
Marraskuun alku,Lampaankääpä,0
Marraskuun alku,Talvijuurekas,38
Marraskuun alku,Hallavahakas,23
Marraskuun alku,Mustavahakas,0
Marraskuun alku,Koivunpunikkitatti,0
Marraskuun loppu,Kanttarelli,6
Marraskuun loppu,Suppilovahvero,12
Marraskuun loppu,Mustatorvisieni,0
Marraskuun loppu,Kangasrousku,0
Marraskuun loppu,Limanuljaska,0
Marraskuun loppu,Kehnäsieni,0
Marraskuun loppu,Pohjanmesisieni,0
Marraskuun loppu,Lampaankääpä,0
Marraskuun loppu,Talvijuurekas,38
Marraskuun loppu,Hallavahakas,15
Marraskuun loppu,Mustavahakas,0
Marraskuun loppu,Koivunpunikkitatti,0
Joulukuun alku,Kanttarelli,6
Joulukuun alku,Suppilovahvero,7
Joulukuun alku,Mustatorvisieni,0
Joulukuun alku,Kangasrousku,0
Joulukuun alku,Limanuljaska,0
Joulukuun alku,Kehnäsieni,0
Joulukuun alku,Pohjanmesisieni,0
Joulukuun alku,Lampaankääpä,0
Joulukuun alku,Talvijuurekas,16
Joulukuun alku,Hallavahakas,4
Joulukuun alku,Mustavahakas,0
Joulukuun alku,Koivunpunikkitatti,0
Joulukuun loppu,Kanttarelli,5
Joulukuun loppu,Suppilovahvero,7
Joulukuun loppu,Mustatorvisieni,0
Joulukuun loppu,Kangasrousku,1
Joulukuun loppu,Limanuljaska,0
Joulukuun loppu,Kehnäsieni,0
Joulukuun loppu,Pohjanmesisieni,0
Joulukuun loppu,Lampaankääpä,0
Joulukuun loppu,Talvijuurekas,12
Joulukuun loppu,Hallavahakas,3
Joulukuun loppu,Mustavahakas,0
Joulukuun loppu,Koivunpunikkitatti,0




